,Name,Institution
638,Cindy Crain,Tarrant County College District
639,Linda Cramer,Trinity College [CT]
640,William Crandall,Princeton University
641,Angus Crane,Idaho State University
642,John Cranley,John Carroll University
643,Dustin Craven,Montana State University-Billings
644,Jacqueline Crawford,University of Maryland College Park
645,Jared Crawford,West Virginia University
646,Jason Crawford,Georgetown University
647,Andrew Crawford,Wesleyan University
648,Matthew Crim,University of Georgia
649,Brian Cromer,Furman University
650,Catherine Crosland,Northwestern University
651,James Cross,University of Vermont
652,Ronald Crouch,George Washington University
653,Matthew Crowl,Drake University
654,Michael Crowley,Regis College
655,Jose Cruz,University of Guam
656,William Cruz Jones,University of Guam
657,Ileana Cruz-Marden,University of Puerto Rico-Rio Piedras
658,April Cubbage,Orange Coast College
659,Christine Culbertson,West Virginia University
660,Christopher Culver,United States Air Force Academy
661,Jarret Cummings,Southwestern University
662,Craig Cummings,United States Military Academy
663,John Cunningham,Bowdoin College
664,Andrew Cunningham,Duke University
665,Hamilton Cunningham,Howard University
666,Elizabeth Cunningham,Southern Methodist University
667,Christine Curella,CUNY Hunter College
668,Lynne Curry,Villanova University
669,Julie Curti,University of Wisconsin-Madison
670,Julia Curtis,New York University
671,Douglas Curtis,Harvard University
672,Linda Curtis,Bowdoin College
673,Jeffery Cusic,Wabash College
674,Amy Cyphert,Carnegie Mellon University
675,Kate D'Ambrosio,Willamette University
676,Elizabeth da Trindade,Duke University
677,Karen Dabbs,Yale University
678,Madeleine Daepp,Washington University
679,Emily Dahm,College of Saint Benedict
680,Loandria Dahmer,Western Kentucky University
681,Eric Dailey,Rhodes College
682,Michael Dakduk,University of Nevada-Las Vegas
683,Franklin Dakin,Rhodes College
684,Piyali Dalal,University of Minnesota
685,Annamarie Daley,University of Minnesota
686,Russell Dallen,University of Mississippi
687,April Joy Damian,University of California-Berkeley
688,Stephen Damianos,University of Pennsylvania
689,David Danesh,Ohio State University
690,Irene Danet,Aquinas College
691,Jarrell Daniels,Columbia University 
692,Brigham Daniels,University of Utah
693,Teresa Danso-Danquah,Cornell University
694,Emily Dark,Rockhurst University
695,Julian Dautremont-Smith,Lewis and Clark College
696,Sarah David,Johns Hopkins University
697,Newton Davis,Williams College
698,DeCarol Davis,United States Coast Guard Academy
699,Lisa Davis,University of Texas
700,Newton Davis,Williams College
701,DeCarol Davis,United States Coast Guard Academy
702,Victoria Dawson,University of Hawaii-Manoa
703,Bill De La Rosa,Bowdoin College
704,Oscar De Los Santos,University of Southern California
705,Natalee Deaette,Boston College
706,Meredith DeBoom,University of Iowa
707,Brandon DeBot,Dartmouth College
708,Jesse Decker,Northeastern University
709,Brigid DeCoursey,University of Tulsa
710,Carolyn Dedolph,University of Wisconsin-Madison
711,Sahara June Defensor,University of Guam
712,Evan DeFilippis,University of Oklahoma
713,Kenneth DeGraff,Butler University
714,Elizabeth deGrazia,University of Chicago
715,Amil Deharpporte,Carleton College
716,Wyatt Deihl,Rollins College
717,Jaclyn Delamatre,Brown University
718,Nancy Delaney,American University
719,Alfred Delena,Stanford University
720,Regina deLeon,University of South Florida
721,Simone Delerme,University of Delaware
722,Laura Delgado-López,University of Puerto Rico-Rio Piedras
723,Melissa Dell,Harvard University
724,Peter Dellera,University of Hawaii Kapiolani Community College
725,Matthew Delligatti,West Virginia University
726,Marie Deloso,University of Guam
727,Kyle Dempsey,Bowdoin College
728,Emily Demres,University of Nebraska
729,Eleanore Denegre,Reed College
730,Ginger Denison,Furman University
731,Benjamin Dennis,Michigan State University
732,Caroline Dennis,Seattle University
733,Chanel Dennis,Temple University
734,Jessica Depies,Boston University
735,Isobel Dernlan,United States Air Force Academy
736,Daniel Dertke,Duke University
737,Meghana Desale,Boston University
738,Bradley Desch,Penn State University
739,Manasi  Deshpande,University of Texas
740,Neha Deshpande,Johns Hopkins University
741,Laurel Desnick,Montana State University-Bozeman
742,Jason Despain,Brigham Young University
743,John deSteiguer,Northeastern State University
744,Breanna Detwiler,Elon University
745,Christopher Deufel,Wabash College
746,Theodore Deutch,University of Michigan
747,Heather Deutsch,Saint John's College- MD
748,Marc DeVore,Claremont McKenna College
749,Alexander Dewar,Wheaton College - MA
